0.2228	0.4921	0.4124	0.4448
0.5987	0.3220	0.5762	0.9466
0.1429	0.4725	0.9680	0.5206
0.3035	0.6809	0.4099	0.2401
0.9689	0.1108	0.2409	0.7289
0.3233	0.7162	0.8405	0.0411
0.1873	0.6638	0.1161	0.5485
0.2451	0.9010	0.9784	0.2600
0.9370	0.1348	0.1394	0.1609
0.2914	0.4121	0.2335	0.6152
0.5715	0.2593	0.5632	0.0758
0.4220	0.2404	0.8109	0.5352
0.3183	0.5836	0.3456	0.8162
0.5881	0.3752	0.6775	0.8277
0.9855	0.3253	0.8632	0.1859
0.9529	0.0119	0.2914	0.7939
0.9033	0.0102	0.4160	0.2050
0.5844	0.3784	0.5759	0.7861
0.3718	0.1170	0.8289	0.0922
0.3569	0.2716	0.6349	0.7017
0.5605	0.4655	0.6146	0.8514
0.8978	0.7580	0.3825	0.0673
0.8237	0.4960	0.9050	0.2729
0.5930	0.4830	0.1605	0.7805
0.7093	0.0279	0.6035	0.7765
0.1623	0.8493	0.6998	0.6373
0.8571	0.0776	0.4554	0.3108
0.5116	0.0389	0.0385	0.7803
0.5904	0.8069	0.6136	0.1026
0.3178	0.3468	0.1608	0.0702
0.6422	0.0687	0.2269	0.3343
0.4189	0.8500	0.7804	0.6773
0.9043	0.8155	0.3356	0.7054
0.2660	0.7378	0.0319	0.0674
0.0966	0.1106	0.3272	0.2772
0.6987	0.9682	0.5776	0.3373
0.8442	0.2169	0.8558	0.0788
0.0022	0.6879	0.8961	0.9206
0.3434	0.3409	0.3399	0.0694
0.7873	0.3460	0.8975	0.7792
